Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus bahianus,Ocean Surgeonfish,Assets/SpecimenPrefabs/Acanthuridae.prefab,Family,FALSE,12,12,1
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chirurgus,Black Doctorfish,Assets/SpecimenPrefabs/Acanthuridae.prefab,Family,FALSE,17.98323597,11,2
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,Blue Barber,Assets/SpecimenPrefabs/Acanthuridae.prefab,Family,FALSE,21.3,12,4
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora cervicornis,Fused Staghorn Coral,Assets/SpecimenPrefabs/Acroporidae.prefab,Family,TRUE,17.98323597,17.98323597,1
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora palmata,Elkhorn Coral,Assets/SpecimenPrefabs/Acroporidae.prefab,Family,TRUE,25.90805182,7.010414021,8
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora striata,Staghorn Coral,Assets/SpecimenPrefabs/Acroporidae.prefab,Family,TRUE,16.15443231,12.19202438,2
Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Condylactis,Condylactis gigantea,Giant Caribbean Sea Anemone,Assets/SpecimenPrefabs/Actiniidae.prefab,Family,TRUE,30.48006096,11,7
Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,Aplysina aerophoba,Golden Sponge,Assets/SpecimenPrefabs/Aplysinidae.prefab,Family,TRUE,12.49682499,3.048006096,3
Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,Aplysina fistularis,Dead Man's Fingers,Assets/SpecimenPrefabs/Aplysinidae.prefab,Family,TRUE,24.38404877,11,4
Animalia,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus chinensis,Chinese Trumpetfish,Assets/SpecimenPrefabs/Aulostomidae.prefab,Family,FALSE,15,15,1
Animalia,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus maculatus,Atlantic Trumpetfish,Assets/SpecimenPrefabs/Aulostomidae.prefab,Family,FALSE,45,1.79,40
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,Canthidermis maculata,Rough Triggerfish,Assets/SpecimenPrefabs/Balistidae.prefab,Family,FALSE,27.1,10,5
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,Canthidermis sufflamen,Ocean Triggerfish,Assets/SpecimenPrefabs/Balistidae.prefab,Family,FALSE,22.86004572,10,5
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Melichthys,Melichthys niger,Black Triggerfish,Assets/SpecimenPrefabs/Balistidae.prefab,Family,FALSE,36.57607315,10,20
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus lunatus,Peacock Flounder,Assets/SpecimenPrefabs/Bothidae.prefab,Family,FALSE,24.69000762,3.048006096,8
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus ocellatus,Eyed Flounder,Assets/SpecimenPrefabs/Bothidae.prefab,Family,FALSE,21.03,7,2
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus podas,Wide-eyed Flounder,Assets/SpecimenPrefabs/Bothidae.prefab,Family,FALSE,30.48006096,30,3
Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,Atlantic Rock Crab,Assets/SpecimenPrefabs/Cancridae.prefab,Family,FALSE,30.48006096,15.24003048,7
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides,Unspecified,Assets/SpecimenPrefabs/Carangidae.prefab,Family,FALSE,8.5,8.5,1
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides bartholomaei,Yellow Jack,Assets/SpecimenPrefabs/Carangidae.prefab,Family,FALSE,18.8976378,7.010414021,6
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides ruber,Bar Jack,Assets/SpecimenPrefabs/Carangidae.prefab,Family,FALSE,38.2,11.5,5
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,Gray Reef Shark,Assets/SpecimenPrefabs/Carcharhinidae.prefab,Family,FALSE,25.14605029,25.14605029,1
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,Blackspot  Shark,Assets/SpecimenPrefabs/Carcharhinidae.prefab,Family,FALSE,26.82245364,26.82245364,1
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas,Bull Shark,Assets/SpecimenPrefabs/Carcharhinidae.prefab,Family,FALSE,25,12,4
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus limbatus,Blacktip Shark,Assets/SpecimenPrefabs/Carcharhinidae.prefab,Family,FALSE,26.4,22,2
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus melanopterus,Blacktip Reef Shark,Assets/SpecimenPrefabs/Carcharhinidae.prefab,Family,FALSE,30.13999492,21.06172212,3
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus perezii,Caribbean Reef Shark,Assets/SpecimenPrefabs/Carcharhinidae.prefab,Family,FALSE,43,9.753619507,16
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon capistratus,Four Eye Butterflyfish,Assets/SpecimenPrefabs/Chaetodontidae.prefab,Family,FALSE,36.57607315,11,13
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon ocellatus,Spotfin Butterflyfish,Assets/SpecimenPrefabs/Chaetodontidae.prefab,Family,FALSE,36.57607315,22.86004572,3
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon sedentarius,Reef Butterflyfish,Assets/SpecimenPrefabs/Chaetodontidae.prefab,Family,FALSE,26,17.98323597,2
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon striatus,Banded Butterflyfish,Assets/SpecimenPrefabs/Chaetodontidae.prefab,Family,FALSE,36.57607315,11.5,4
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Caretta caretta,Loggerhead Sea Turtle,Assets/SpecimenPrefabs/Caretta.prefab,Genus,FALSE,28,12,15
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia,Unspecified,Assets/SpecimenPrefabs/Chelonia.prefab,Genus,FALSE,33.52806706,5.913131826,6
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia mydas,Green Sea Turtles,Assets/SpecimenPrefabs/Chelonia.prefab,Genus,FALSE,70,2,44
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Eretmochelys,Unspecified,Assets/SpecimenPrefabs/Eretmochelys.prefab,Genus,FALSE,22.2504445,14.50850902,6
Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,Hawksbill Sea Turtle,Assets/SpecimenPrefabs/Eretmochelys.prefab,Genus,FALSE,100,11,28
Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,Heteroconger hassi,Black Spotted Garden Eel,Assets/SpecimenPrefabs/Congridae.prefab,Family,FALSE,100,10,12
Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,Heteroconger longissimus,Brown Garden Eel,Assets/SpecimenPrefabs/Congridae.prefab,Family,FALSE,25.5,9.2,5
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis akajei,Whip Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,17.01000762,17.01000762,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis americana,Southern Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,30,2,24
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis brevicaudata,Short-tail Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,18.29,17,3
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis brevis,Diamond Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,11.28,11.28,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis guttata,Longnose Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,20,15,3
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis lata,Brown Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,19,19,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis pastinaca,Common Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,24.4,24.4,1
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis sabina,Atlantic Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,30.48006096,14,8
Animalia,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,Dasyatis,Dasyatis say,Bluntnose Stingray,Assets/SpecimenPrefabs/Dasyatidae.prefab,Family,FALSE,18.8976378,12.4,3
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Diodon holocanthus,Long-spined Porcupinefish,Assets/SpecimenPrefabs/Diodontidae.prefab,Family,FALSE,45,9.5,10
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Diodon liturosus,Black-blotched Porcupinefish,Assets/SpecimenPrefabs/Diodontidae.prefab,Family,FALSE,18.8976378,17.37363475,4
Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Petrochirus,Petrochirus diogenes,Giant Hermit Crab,Assets/SpecimenPrefabs/Diogenidae.prefab,Family,FALSE,30.48006096,14,7
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastraea,Montastraea annularis,Boulder Star Coral,None,Family,TRUE,25,11,2
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastraea,Montastraea cavernosa,Great Star Coral,None,Family,TRUE,18.8976378,12,6
Animalia,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,Ginglymostoma cirratum,Nurse Shark,Assets/SpecimenPrefabs/Ginglymostomatidae.prefab,Family,FALSE,80,5.38,47
Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Gorgonia,Gorgonia ventalina,Purple Sea Fan,Assets/SpecimenPrefabs/Gorgoniidae.prefab,Family,TRUE,25.90805182,5.2,15
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon carbonarium,Black-tail Grunt,Assets/SpecimenPrefabs/Haemulidae.prefab,Family,FALSE,11,11,1
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon chrysargyreum,Banana Grunt,Assets/SpecimenPrefabs/Haemulidae.prefab,Family,FALSE,16.15443231,11,3
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon flavolineatum,Gold Laced Grunt,Assets/SpecimenPrefabs/Haemulidae.prefab,Family,FALSE,36.57607315,11,3
Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon sciurus,Bluestriped Grunt,Assets/SpecimenPrefabs/Haemulidae.prefab,Family,FALSE,22.93999492,9.1,11
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis,Common Squirrelfish,None,Family,FALSE,66,18.28803658,4
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus rufus,Longspine Squirrelfish,None,Family,FALSE,27,11,5
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Sargocentron coruscum,Reef Squirrelfish,None,Family,FALSE,45,11.5,12
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Sargocentron tiereoides,Pink Squirrelfish,None,Family,FALSE,26,26,1
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Sargocentron vexillarium,Dusky Squirrelfish,None,Family,FALSE,12.8016256,7.010414021,4
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres garnoti,Yellowhead Wrasse,Assets/SpecimenPrefabs/Labridae.prefab,Family,FALSE,16.76403353,12,3
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres maculipinna,Clown Wrasse,Assets/SpecimenPrefabs/Labridae.prefab,Family,FALSE,26,18,2
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres pictus,Rainbow Wrasse,Assets/SpecimenPrefabs/Labridae.prefab,Family,FALSE,26,12.19202438,3
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres radiatus,Puddingwife Wrasse,Assets/SpecimenPrefabs/Labridae.prefab,Family,FALSE,25,25,1
Animalia,Mollusca,Cephalopoda,Teuthida,Loliginidae,Sepioteuthis,Sepioteuthis sepioidea,Caribbean Reef Squid,Assets/SpecimenPrefabs/Loliginidae.prefab,Family,FALSE,30.48006096,9.2,10
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus,Unspecified,Assets/SpecimenPrefabs/Lutjanidae.prefab,Family,FALSE,14.1,14.1,1
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus apodus,Dogtooth Snapper,Assets/SpecimenPrefabs/Lutjanidae.prefab,Family,FALSE,22.93999492,21.9,2
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus campechanus,Northern Red Snapper,Assets/SpecimenPrefabs/Lutjanidae.prefab,Family,FALSE,24.68884938,24.68884938,1
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus guttatus,Spotted Rose Snapper,Assets/SpecimenPrefabs/Lutjanidae.prefab,Family,FALSE,22.93999492,22.93999492,1
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus synagris,Lane Snapper,Assets/SpecimenPrefabs/Lutjanidae.prefab,Family,FALSE,15.85,6.705613411,3
Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Ocyurus,Ocyurus chrysurus,Yellowtail Snapper,Assets/SpecimenPrefabs/Lutjanidae.prefab,Family,FALSE,30.48006096,9.1,7
Animalia,Cnidaria,Anthozoa,Scleractinia,Meandrinidae,Dendrogyra,Dendrogyra cylindrus,Pillar Coral,Assets/SpecimenPrefabs/Meandrinidae.prefab,Family,TRUE,25,11,7
Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,Megalops atlanticus,Atlantic Tarpon,Assets/SpecimenPrefabs/Megalopidae.prefab,Family,FALSE,30,7,15
Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,Millepora alcicornis,Branching Fire Coral,None,Family,TRUE,30.48006096,11,9
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus schoepfii,Orange Filefish,Assets/SpecimenPrefabs/Monacanthidae.prefab,Family,FALSE,13.71602743,13.71602743,1
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus scriptus,Scrawled Filefish,Assets/SpecimenPrefabs/Monacanthidae.prefab,Family,FALSE,33.26014732,11,7
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Echidna,Echidna catenata,Chain Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,80,6.705613411,14
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax afer,Dark Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,15,15,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax dovii,Speckled Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,14.12,14.12,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax equatorialis,Spottail Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,29.26085852,18.59283719,3
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax flavimarginatus,Yellowmargin Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,33.52806706,21.03,4
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax funebris,Black Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,31.39446279,8.5,28
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax fuscomaculatus,Brown Spotted Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,18,18,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax isingteena,Spotted Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,21,11,4
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax javanicus,Giant Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,39.86,15.54,2
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax miliaris,Goldentail Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,29.7,11,7
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax minor,Lesser Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,20,20,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax moringa,Common Conger,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,30.48006096,6.705613411,22
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax pictus,Bar-cheeked Eel,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,19.77000762,16,2
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax polyuranodon,Freshwater Moray,Assets/SpecimenPrefabs/Muraenidae.prefab,Family,FALSE,30.48006096,30.48006096,2
